Unnamed: 0,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,cluster_id,cluster_name
0,5.1,3.5,1.4,0.2,0,1,Iris setosa
1,4.9,3.0,1.4,0.2,0,1,Iris setosa
2,4.7,3.2,1.3,0.2,0,1,Iris setosa
3,4.6,3.1,1.5,0.2,0,1,Iris setosa
4,5.0,3.6,1.4,0.2,0,1,Iris setosa
5,5.4,3.9,1.7,0.4,0,1,Iris setosa
6,4.6,3.4,1.4,0.3,0,1,Iris setosa
7,5.0,3.4,1.5,0.2,0,1,Iris setosa
8,4.4,2.9,1.4,0.2,0,1,Iris setosa
9,4.9,3.1,1.5,0.1,0,1,Iris setosa
10,5.4,3.7,1.5,0.2,0,1,Iris setosa
11,4.8,3.4,1.6,0.2,0,1,Iris setosa
12,4.8,3.0,1.4,0.1,0,1,Iris setosa
13,4.3,3.0,1.1,0.1,0,1,Iris setosa
14,5.8,4.0,1.2,0.2,0,1,Iris setosa
15,5.7,4.4,1.5,0.4,0,1,Iris setosa
16,5.4,3.9,1.3,0.4,0,1,Iris setosa
17,5.1,3.5,1.4,0.3,0,1,Iris setosa
18,5.7,3.8,1.7,0.3,0,1,Iris setosa
19,5.1,3.8,1.5,0.3,0,1,Iris setosa
20,5.4,3.4,1.7,0.2,0,1,Iris setosa
21,5.1,3.7,1.5,0.4,0,1,Iris setosa
22,4.6,3.6,1.0,0.2,0,1,Iris setosa
23,5.1,3.3,1.7,0.5,0,1,Iris setosa
24,4.8,3.4,1.9,0.2,0,1,Iris setosa
25,5.0,3.0,1.6,0.2,0,1,Iris setosa
26,5.0,3.4,1.6,0.4,0,1,Iris setosa
27,5.2,3.5,1.5,0.2,0,1,Iris setosa
28,5.2,3.4,1.4,0.2,0,1,Iris setosa
29,4.7,3.2,1.6,0.2,0,1,Iris setosa
30,4.8,3.1,1.6,0.2,0,1,Iris setosa
31,5.4,3.4,1.5,0.4,0,1,Iris setosa
32,5.2,4.1,1.5,0.1,0,1,Iris setosa
33,5.5,4.2,1.4,0.2,0,1,Iris setosa
34,4.9,3.1,1.5,0.2,0,1,Iris setosa
35,5.0,3.2,1.2,0.2,0,1,Iris setosa
36,5.5,3.5,1.3,0.2,0,1,Iris setosa
37,4.9,3.6,1.4,0.1,0,1,Iris setosa
38,4.4,3.0,1.3,0.2,0,1,Iris setosa
39,5.1,3.4,1.5,0.2,0,1,Iris setosa
40,5.0,3.5,1.3,0.3,0,1,Iris setosa
41,4.5,2.3,1.3,0.3,0,1,Iris setosa
42,4.4,3.2,1.3,0.2,0,1,Iris setosa
43,5.0,3.5,1.6,0.6,0,1,Iris setosa
44,5.1,3.8,1.9,0.4,0,1,Iris setosa
45,4.8,3.0,1.4,0.3,0,1,Iris setosa
46,5.1,3.8,1.6,0.2,0,1,Iris setosa
47,4.6,3.2,1.4,0.2,0,1,Iris setosa
48,5.3,3.7,1.5,0.2,0,1,Iris setosa
49,5.0,3.3,1.4,0.2,0,1,Iris setosa
50,7.0,3.2,4.7,1.4,1,0,Versicolor
51,6.4,3.2,4.5,1.5,1,0,Versicolor
52,6.9,3.1,4.9,1.5,1,0,Versicolor
53,5.5,2.3,4.0,1.3,1,0,Versicolor
54,6.5,2.8,4.6,1.5,1,0,Versicolor
55,5.7,2.8,4.5,1.3,1,0,Versicolor
56,6.3,3.3,4.7,1.6,1,0,Versicolor
57,4.9,2.4,3.3,1.0,1,0,Versicolor
58,6.6,2.9,4.6,1.3,1,0,Versicolor
59,5.2,2.7,3.9,1.4,1,0,Versicolor
60,5.0,2.0,3.5,1.0,1,0,Versicolor
61,5.9,3.0,4.2,1.5,1,0,Versicolor
62,6.0,2.2,4.0,1.0,1,0,Versicolor
63,6.1,2.9,4.7,1.4,1,0,Versicolor
64,5.6,2.9,3.6,1.3,1,0,Versicolor
65,6.7,3.1,4.4,1.4,1,0,Versicolor
66,5.6,3.0,4.5,1.5,1,0,Versicolor
67,5.8,2.7,4.1,1.0,1,0,Versicolor
68,6.2,2.2,4.5,1.5,1,0,Versicolor
69,5.6,2.5,3.9,1.1,1,0,Versicolor
70,5.9,3.2,4.8,1.8,1,0,Versicolor
71,6.1,2.8,4.0,1.3,1,0,Versicolor
72,6.3,2.5,4.9,1.5,1,0,Versicolor
73,6.1,2.8,4.7,1.2,1,0,Versicolor
74,6.4,2.9,4.3,1.3,1,0,Versicolor
75,6.6,3.0,4.4,1.4,1,0,Versicolor
76,6.8,2.8,4.8,1.4,1,0,Versicolor
77,6.7,3.0,5.0,1.7,1,0,Versicolor
78,6.0,2.9,4.5,1.5,1,0,Versicolor
79,5.7,2.6,3.5,1.0,1,0,Versicolor
80,5.5,2.4,3.8,1.1,1,0,Versicolor
81,5.5,2.4,3.7,1.0,1,0,Versicolor
82,5.8,2.7,3.9,1.2,1,0,Versicolor
83,6.0,2.7,5.1,1.6,1,0,Versicolor
84,5.4,3.0,4.5,1.5,1,0,Versicolor
85,6.0,3.4,4.5,1.6,1,0,Versicolor
86,6.7,3.1,4.7,1.5,1,0,Versicolor
87,6.3,2.3,4.4,1.3,1,0,Versicolor
88,5.6,3.0,4.1,1.3,1,0,Versicolor
89,5.5,2.5,4.0,1.3,1,0,Versicolor
90,5.5,2.6,4.4,1.2,1,0,Versicolor
91,6.1,3.0,4.6,1.4,1,0,Versicolor
92,5.8,2.6,4.0,1.2,1,0,Versicolor
93,5.0,2.3,3.3,1.0,1,0,Versicolor
94,5.6,2.7,4.2,1.3,1,0,Versicolor
95,5.7,3.0,4.2,1.2,1,0,Versicolor
96,5.7,2.9,4.2,1.3,1,0,Versicolor
97,6.2,2.9,4.3,1.3,1,0,Versicolor
98,5.1,2.5,3.0,1.1,1,0,Versicolor
99,5.7,2.8,4.1,1.3,1,0,Versicolor
100,6.3,3.3,6.0,2.5,2,0,Versicolor
101,5.8,2.7,5.1,1.9,2,0,Versicolor
102,7.1,3.0,5.9,2.1,2,0,Versicolor
103,6.3,2.9,5.6,1.8,2,0,Versicolor
104,6.5,3.0,5.8,2.2,2,0,Versicolor
105,7.6,3.0,6.6,2.1,2,0,Versicolor
106,4.9,2.5,4.5,1.7,2,0,Versicolor
107,7.3,2.9,6.3,1.8,2,0,Versicolor
108,6.7,2.5,5.8,1.8,2,0,Versicolor
109,7.2,3.6,6.1,2.5,2,0,Versicolor
110,6.5,3.2,5.1,2.0,2,0,Versicolor
111,6.4,2.7,5.3,1.9,2,0,Versicolor
112,6.8,3.0,5.5,2.1,2,0,Versicolor
113,5.7,2.5,5.0,2.0,2,0,Versicolor
114,5.8,2.8,5.1,2.4,2,0,Versicolor
115,6.4,3.2,5.3,2.3,2,0,Versicolor
116,6.5,3.0,5.5,1.8,2,0,Versicolor
117,7.7,3.8,6.7,2.2,2,0,Versicolor
118,7.7,2.6,6.9,2.3,2,0,Versicolor
119,6.0,2.2,5.0,1.5,2,0,Versicolor
120,6.9,3.2,5.7,2.3,2,0,Versicolor
121,5.6,2.8,4.9,2.0,2,0,Versicolor
122,7.7,2.8,6.7,2.0,2,0,Versicolor
123,6.3,2.7,4.9,1.8,2,0,Versicolor
124,6.7,3.3,5.7,2.1,2,0,Versicolor
125,7.2,3.2,6.0,1.8,2,0,Versicolor
126,6.2,2.8,4.8,1.8,2,0,Versicolor
127,6.1,3.0,4.9,1.8,2,0,Versicolor
128,6.4,2.8,5.6,2.1,2,0,Versicolor
129,7.2,3.0,5.8,1.6,2,0,Versicolor
130,7.4,2.8,6.1,1.9,2,0,Versicolor
131,7.9,3.8,6.4,2.0,2,0,Versicolor
132,6.4,2.8,5.6,2.2,2,0,Versicolor
133,6.3,2.8,5.1,1.5,2,0,Versicolor
134,6.1,2.6,5.6,1.4,2,0,Versicolor
135,7.7,3.0,6.1,2.3,2,0,Versicolor
136,6.3,3.4,5.6,2.4,2,0,Versicolor
137,6.4,3.1,5.5,1.8,2,0,Versicolor
138,6.0,3.0,4.8,1.8,2,0,Versicolor
139,6.9,3.1,5.4,2.1,2,0,Versicolor
140,6.7,3.1,5.6,2.4,2,0,Versicolor
141,6.9,3.1,5.1,2.3,2,0,Versicolor
142,5.8,2.7,5.1,1.9,2,0,Versicolor
143,6.8,3.2,5.9,2.3,2,0,Versicolor
144,6.7,3.3,5.7,2.5,2,0,Versicolor
145,6.7,3.0,5.2,2.3,2,0,Versicolor
146,6.3,2.5,5.0,1.9,2,0,Versicolor
147,6.5,3.0,5.2,2.0,2,0,Versicolor
148,6.2,3.4,5.4,2.3,2,0,Versicolor
149,5.9,3.0,5.1,1.8,2,0,Versicolor
